INST_CODE, INST_CODE,PLACE,DIST,COED,TYPE,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,TUITION_FEE 2016,AFFILIATED,YEAR,EWS_BOYS,EWS_GIRLS,
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,76731,76731,91233,94988,76731,76731,76731,76731,76731,95819,76731,76731,91417,91417,87069,87069,65000,JNTUH,2019,,,
ASOK,ASHOKA  INST OF ENGINEERING TECHNOLOGY,MALKAPUR,YBG,COED,PVT,MEC,MECHANICAL ENGINEERING,94949,94949,94949,94949,94949,94949,94949,94949,94949,94949,94949,94949,94949,99278,97291,97291,65000,JNTUH,2019,,,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,CIV,CIVIL ENGINEERING,75830,75830,75830,75830,75830,75830,75830,75830,75830,75830,75830,75830,96690,96690,76966,89226,50000,JNTUH,2019,,,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,65692,65692,96952,96952,97076,97076,65692,65692,90603,90603,65692,65692,90087,90087,65692,65692,50000,JNTUH,2019,,,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,54861,73047,87657,87657,80444,95858,81542,81542,87589,87589,92175,92175,88750,95199,54861,98762,50000,JNTUH,2019,,,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,50000,JNTUH,2019,,,
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,50000,JNTUH,2019,,,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,CIV,CIVIL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,60000,JNTUH,2019,,,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,30114,30114,94015,98633,59950,59950,30114,30114,53273,71062,71978,92244,94148,99052,32036,99071,60000,JNTUH,2019,,,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,62301,62301,87026,89536,93383,96812,98539,98539,79807,88404,80782,93442,99197,99197,78908,98507,60000,JNTUH,2019,,,
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,60000,JNTUH,2019,,,
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,CIV,CIVIL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,72000,JNTUH,2019,,,
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,42242,48384,92574,94475,82354,96045,81585,81585,61773,79118,85250,86914,78182,96691,81535,81535,72000,JNTUH,2019,,,
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,67634,67634,89119,89119,93277,95464,67634,67634,94353,94353,67634,94787,93435,93435,67634,67634,72000,JNTUH,2019,,,
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,72000,JNTUH,2019,,,
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,INF,INFORMATION TECHNOLOGY,57687,57687,86944,98147,93585,95861,57687,57687,79717,80720,80220,80220,61313,72870,62811,62811,72000,JNTUH,2019,,,
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,MEC,MECHANICAL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,72000,JNTUH,2019,,,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,55975,55975,96777,96777,93152,96093,75082,75082,81167,85920,98100,98100,78632,78632,65033,97729,65000,JNTUH,2019,,,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,83288,86451,88918,88918,89659,89659,83288,86451,84716,86451,83288,86451,97722,97722,83288,86451,65000,JNTUH,2019,,,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,69473,77734,69473,77734,69473,77734,69473,77734,88270,88270,69473,77734,86350,90040,87230,87230,65000,JNTUH,2019,,,
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,65000,JNTUH,2019,,,
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,CIV,CIVIL ENGINEERING,62453,62453,62453,62453,73494,73494,62453,62453,62453,62453,62453,80694,90730,93852,90261,99598,78000,JNTUH,2019,,,
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,48203,48203,96258,96258,73205,73205,56267,56267,56060,56060,56523,67638,99330,99330,89426,91424,78000,JNTUH,2019,,,
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,64300,64300,95145,95145,97513,98771,64300,76342,86163,97704,90893,90893,99319,99319,92764,92764,78000,JNTUH,2019,,,
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,76908,76908,76908,76908,76908,76908,76908,76908,80255,80255,76908,76908,94780,94780,90344,95998,78000,JNTUH,2019,,,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,CIV,CIVIL ENGINEERING,64513,64513,75078,75078,82459,82459,76027,76027,80974,80974,64513,64513,96948,96948,92664,92664,89000,JNTUH,2019,,,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,33658,33658,97971,97971,60314,73498,56070,56070,55757,55757,78515,86995,99070,99070,95764,95764,89000,JNTUH,2019,,,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,55913,55913,96804,96804,96112,96112,56634,56634,62024,84675,92315,92315,63200,93668,64893,64893,89000,JNTUH,2019,,,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,57088,57088,95428,95428,75030,75030,57088,57088,80945,80945,86602,86602,89550,89550,57088,80490,89000,JNTUH,2019,,,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,INF,INFORMATION TECHNOLOGY,40879,41235,86543,93745,85625,91487,40879,41235,57254,57254,62461,62461,45464,46335,45546,45546,89000,JNTUH,2019,,,
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,MEC,MECHANICAL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,89000,JNTUH,2019,,,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,CIV,CIVIL ENGINEERING,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,87645,97979,97979,60000,JNTUH,2019,,,
